contato;oi bom dia, como faco?
abrangencia;Por gentileza, qual a abrangencia?
custo;quanto custa?,
despedida;ok muito obrigado pela ajuda,
despedida;ta bom, obrigado
saudacao;boa tarde,
beneficio;por favor quais os beneficios da portabilidade?,
despedida;beleza, valeu
regra;qual sao as regras?,
agendar;ola, como faco para reagendar?
acompanhar; onde posso acompanhar?,
cancelar; como cancelo?,
migracao; quanto tempo leva para migrar?,
despedida;Adeus,
despedida;ate mais,
saudacao;Boa noite,
cancelar;como cancelo o Port Out?,
